"Source:","/home/havard/Development/tdt4295/pcb/centrifuge_mcu/centrifuge_mcu.kicad_sch"
"Date:","Thu 29 Sep 2022 12:48:37 AM CEST"
"Tool:","Eeschema (6.0.7)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","114"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Purchase","Size","Threshold","Title","Tolerance"
"14","1","J105","FPGA_SPI","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","",""
"15","1","J106","DDC_I2Cs","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","",""
"16","1","J107","ACD_I2C","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","",""
"17","1","J108","ACD_RST","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","",""
"18","1","J109","USB_B_Micro","Connector:USB_B_Micro","Connector_USB:USB_Micro-B_Molex-105017-0001","~","https://www.digikey.no/no/products/detail/molex/1050171001/5293188","","","",""
"19","1","J110","Barrel_Jack","Connector:Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_CUI_PJ-102AH_Horizontal","~","https://www.digikey.no/no/products/detail/tensility-international-corp/54-00133/9685442","","","",""
"20","1","J111","PowerIn","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","",""
"21","1","J112","PowerPads","Connector:Conn_01x02_Male","centrifuge_mcu:PowerPads","~","","","","",""
"22","1","J113","Conn_02x10_Odd_Even","Connector_Generic:Conn_02x10_Odd_Even","Connector_PinHeader_1.27mm:PinHeader_2x10_P1.27mm_Vertical","~","","Cortex Debug+ETM Connector (1.27mm)","","",""
"23","1","J114","Conn_02x07_Counter_Clockwise","Connector_Generic:Conn_02x07_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical","~","","","","Extra GPIO",""
"24","1","J115","SD_Card","Connector:SD_Card","Connector_Card:SD_Kyocera_145638009511859+","http://portal.fciconnect.com/Comergent//fci/drawing/10067847.pdf","","","","",""
"25","3","L101, L102, L104","1.5u","Device:L","centrifuge_mcu:L_Sumida_CR75","~","https://www.digikey.no/no/products/detail/sumida-america-inc/0415CDMCCDS-1R5MC/9490383","","","","Ip>2.5A, Irms>2.1A"
"26","2","L103, L105","2.2u","Device:L","Inductor_SMD:L_Vishay_IHLP-2020","~","https://www.digikey.no/no/products/detail/vishay-dale/IHLP2020CZER2R2M5A/13985228","","","","Ip>2.9A, Irms>2.1A"
"27","1","L106","3.3u","Device:L","centrifuge_mcu:L_TDK_7065","~","https://www.digikey.no/no/products/detail/tdk-corporation/SPM6545VT-3R3M-D/14638088","","","","Ipeek>3.7A, Irms>2.3A"
"28","1","Q101","Q_PMOS_DGS","Device:Q_PMOS_GDS","Package_TO_SOT_THT:TO-220-3_Vertical","~","https://www.digikey.no/no/products/detail/infineon-technologies/SPP80P06PHXKSA1/2081673","","","",""
"29","1","Q102","Q_NMOS_GSD","Device:Q_NMOS_GSD","Package_TO_SOT_SMD:SOT-323_SC-70_Handsoldering","~","https://www.digikey.no/no/products/detail/panjit-international-inc/PJC138K-AU-R1-000A1/14661065","","","",""
"30","6","R101, R102, R103, R104, R105, R106","2.2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/AC0805FR-072K2L/5896727","","","",""
"31","1","R107","5.6M","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/stackpole-electronics-inc/RMCF0805FT5M60/1713201","","","","1%"
"32","1","R108","6.81k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/stackpole-electronics-inc/RNCP0805FTD6K81/2240257","","1%","",""
"33","6","R109, R111, R113, R118, R120, R122","22.1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/stackpole-electronics-inc/RNCP0805FTD22K1/2240273","","1%","","1%"
"34","1","R110","33k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/AC0805FR-0733KL/5896774","","","","1%"
"35","2","R112, R119","73.2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/RC0805FR-0773K2L/728129","","1%","",""
"36","3","R114, R115, R116","100k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/AC0805FR-07100KL/5896520","","","",""
"37","1","R117","30.1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/RC0805FR-0730K1L/727845","","","","1%"
"38","1","R121","124k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/stackpole-electronics-inc/RMCF0805FT124K/1760657","","","","1%"
"39","1","R123","62","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/AC0805FR-0762RL/5896938","","","",""
"40","9","R124, R125, R126, R127, R128, R129, R130, R131, R132","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/AC0805FR-0710KL/2827834","","","",""
"41","1","U101","DFR0555","mcu_centrifuge_library:DFR0555","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","","https://www.digikey.no/no/products/detail/trinamic-motion-control-gmbh/CABLE-PH04/9381900","","","",""
"42","1","U102","LCD16x2L","mcu_centrifuge_library:LCD16x2L","centrifuge_mcu:DFR0555","","","","","",""
"43","1","U103","TPS54294",":TPS54294_1","centrifuge_mcu:TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm_ThermalVias_EXTRA","","","","","",""
"44","1","U104","TPS54294",":TPS54294_2","centrifuge_mcu:TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm_ThermalVias_EXTRA","","","","","",""
"45","1","U105","TPS54294","mcu_centrifuge_library:TPS54294","centrifuge_mcu:TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm_ThermalVias_EXTRA","","","","","",""
"46","1","U106","EFM32GG990F1024",":EFM32GG990F1024_2","centrifuge_mcu:BGA-112_9.0x9.0mm_Layout11x11_P0.8mm_Ball0.4mm_Pad0.35mm_NSMD","","","","","",""
"47","1","U107","4x4_keyboard","mcu_centrifuge_library:4x4_keyboard","centrifuge_mcu:Adafruit 3844","https://no.mouser.com/ProductDetail/Adafruit/3844?qs=qSfuJ%252Bfl%2Fd6WS5%252BJGim1hw%3D%3D","","","","",""
"48","1","Y101","VXM7-1366-48M0000000","Device:Crystal_GND24","Crystal:Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm_HandSoldering","~","https://www.digikey.no/no/products/detail/microchip-technology/VXM7-1366-48M0000000/13175116?s=N4IgTCBcDaIGoA0CyB2AtARgMwDYdoBYAOJABnItJAF0BfIA","","","",""
