"Source:","/home/havard/Development/tdt4295/pcb/centrifuge_mcu/centrifuge_mcu.kicad_sch"
"Date:","Thu 29 Sep 2022 12:48:37 AM CEST"
"Tool:","Eeschema (6.0.7)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","114"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Purchase","Size","Threshold","Title","Tolerance"
"","","C130","22u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.digikey.no/no/products/detail/samsung-electro-mechanics/CL31B226KQHNNNE/3888804","","","",""
"","","C131","22u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.digikey.no/no/products/detail/samsung-electro-mechanics/CL31B226KQHNNNE/3888804","","","",""
"","","C132","22u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.digikey.no/no/products/detail/samsung-electro-mechanics/CL31B226KQHNNNE/3888804","","","",""
"","","C133","22u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.digikey.no/no/products/detail/samsung-electro-mechanics/CL31B226KQHNNNE/3888804","","","",""
"","","C134","22u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.digikey.no/no/products/detail/samsung-electro-mechanics/CL31B226KQHNNNE/3888804","","","",""
"","","C135","100n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","https://www.digikey.no/no/products/detail/taiyo-yuden/LMF212B7104KGHT/10379109","","","",""
"","","C136","100n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","https://www.digikey.no/no/products/detail/taiyo-yuden/LMF212B7104KGHT/10379109","","","",""
"","","C137","100n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","https://www.digikey.no/no/products/detail/taiyo-yuden/LMF212B7104KGHT/10379109","","","",""
"","","C138","10u","Device:C_Polarized_US","Capacitor_SMD:CP_Elec_4x5.4","~","https://www.digikey.no/no/products/detail/nichicon/UWT1C100MCL1GB/589914","","","",""
"","","C139","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","https://www.digikey.no/no/products/detail/kemet/C0805C105J4REC7800/8643700","","","",""
"","","C140","100n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","https://www.digikey.no/no/products/detail/taiyo-yuden/LMF212B7104KGHT/10379109","","","",""
"","","C141","100n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","https://www.digikey.no/no/products/detail/taiyo-yuden/LMF212B7104KGHT/10379109","","","",""
"","","C142","12p","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","https://www.digikey.no/no/products/detail/vishay-vitramon/VJ0805A120FXJCW1BC/8307136","","","",""
"","","C143","100n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","https://www.digikey.no/no/products/detail/taiyo-yuden/LMF212B7104KGHT/10379109","","","",""
"","","C144","12p","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","https://www.digikey.no/no/products/detail/vishay-vitramon/VJ0805A120FXJCW1BC/8307136","","","",""
"","","C145","100n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","https://www.digikey.no/no/products/detail/taiyo-yuden/LMF212B7104KGHT/10379109","","","",""
"","","C146","100n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","https://www.digikey.no/no/products/detail/taiyo-yuden/LMF212B7104KGHT/10379109","","","",""
"","","C147","100n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","https://www.digikey.no/no/products/detail/taiyo-yuden/LMF212B7104KGHT/10379109","","","",""
